dateUploaded,description,geo_status,hashtags,imgId,positionInStatus,searchTermUsed,url,user_id,user_name
Tue Jun 19 23:38:35 +0000 2018,"RT @ithinkmark: Beyoncé: Have you ever scene a crowd going apeshit?! 
Me: https://t.co/Lo9S8lIuPR",,[],1008916945054232576,1,Cheetah,http://pbs.twimg.com/tweet_video_thumb/DgBknbXUcAAMAZu.jpg,57166825,Cheetey 🌻
Mon Jun 18 19:57:58 +0000 2018,Grevy's Zebra bums @YorkshireWP #zebra https://t.co/t3FkhDDUcG,,[{u'tag': u'zebra'}],1008800366891274240,1,Grevy Zebra,http://pbs.twimg.com/media/Df_6lr3WkAAco3d.jpg,3026394125,Tracy Marsden
Sat Jun 16 15:11:06 +0000 2018,Grevy’s Zebra Foals Debut at Disney’s Animal Kingdom....find out where you can see them here https://t.co/ZB563V50lz https://t.co/2f1xLyDSLB,,[],1008004030113763330,1,Grevy Zebra,http://pbs.twimg.com/media/Df0mUyMX0AILp0g.jpg,15883521,DoingFlorida
Thu Jun 14 16:57:23 +0000 2018,"Grevy’s zebra at Lincoln Park Zoo, 6/14/18 https://t.co/lSg2sAjKXE",,[],1007305871376965632,1,Grevy Zebra,http://pbs.twimg.com/ext_tw_video_thumb/1007305871376965632/pu/img/jS_bxwprfRafRz3n.jpg,929512662039482368,Simon Janevic
Wed Jun 13 13:02:07 +0000 2018,Grevy’s Zebra Foals Join Herd at Disney’s Animal Kingdom https://t.co/wiv3SxqoP6 https://t.co/RCOgg7JtNi,,[],1006884417124487168,1,Grevy Zebra,http://pbs.twimg.com/media/DfksCuyU0AA5KQH.jpg,273187070,SheLovesToDoLaundry
Wed Jun 13 06:40:46 +0000 2018,The Grevy's zebra foals born at Animal Kingdom are making their on stage debut: https://t.co/KN6PKlWk9q https://t.co/UNbVuO3YrB,,[],1006788435951144962,1,Grevy Zebra,http://pbs.twimg.com/media/DfjUv5DW0AInYMo.jpg,36251026,LaughingPlace.com
Tue Jun 12 23:26:56 +0000 2018,"RT @WDWNT: New Grevy’s Zebra Foals Debut at Disney’s Animal Kingdom
https://t.co/ceKkXRYwZa https://t.co/iXpTIASNI0",,[],1006533893871341575,1,Grevy Zebra,http://pbs.twimg.com/media/DfftPl6XkAchsUr.jpg,3054693096,👨🏻Shunsuke🌌Kimura🐻
Tue Jun 12 23:26:12 +0000 2018,RT @TheDIS: Two Grevy's Zebra Foals Make Their Debut at Animal Kingdom https://t.co/aCM6wI8oY2 https://t.co/5VJ7vZ2ebZ,,[],1006321329904078848,1,Grevy Zebra,http://pbs.twimg.com/media/Dfcr6vbU0AAOX6x.jpg,3054693096,👨🏻Shunsuke🌌Kimura🐻
Tue Jun 12 21:42:43 +0000 2018,"RT @WDWNT: New Grevy’s Zebra Foals Debut at Disney’s Animal Kingdom
https://t.co/ceKkXRYwZa https://t.co/iXpTIASNI0",,[],1006533893871341575,1,Grevy Zebra,http://pbs.twimg.com/media/DfftPl6XkAchsUr.jpg,344380905,Cara Dominique
Tue Jun 12 21:05:11 +0000 2018,RT @TheDIS: ICYMI: Two Grevy's Zebra Foals Make Their Debut at Animal Kingdom https://t.co/aCM6wI8oY2 https://t.co/QjIJwAaj4i,,[],1006321640379043840,1,Grevy Zebra,http://pbs.twimg.com/media/DfcsM0CU0AAcF2U.jpg,4894057447,Hquinn2627
Tue Jun 12 17:42:37 +0000 2018,"RT @WDWNT: New Grevy’s Zebra Foals Debut at Disney’s Animal Kingdom
https://t.co/ceKkXRYwZa https://t.co/iXpTIASNI0",,[],1006533893871341575,1,Grevy Zebra,http://pbs.twimg.com/media/DfftPl6XkAchsUr.jpg,844383784145502208,💐 🏵 Shannon 🌼 💐
Tue Jun 12 16:12:08 +0000 2018,New Grevy’s Zebra Foals Debut at Disney’s Animal Kingdom https://t.co/3vdyx8FKzQ https://t.co/l37P2wlGwz,,[],1006569848162271232,1,Grevy Zebra,http://pbs.twimg.com/media/DfgN8aFUwAAitwa.jpg,21462844,Mike_Conrad
Tue Jun 12 15:15:49 +0000 2018,"RT @WDWNT: New Grevy’s Zebra Foals Debut at Disney’s Animal Kingdom
https://t.co/ceKkXRYwZa https://t.co/iXpTIASNI0",,[],1006533893871341575,1,Grevy Zebra,http://pbs.twimg.com/media/DfftPl6XkAchsUr.jpg,543777544,Victoria Eymard
Tue Jun 12 15:09:37 +0000 2018,The Grevy's zebra foals born at Animal Kingdom are making their on stage debut: https://t.co/KN6PKmdV0Y https://t.co/sIjdoJKQUP,,[],1006554113083990016,1,Grevy Zebra,http://pbs.twimg.com/media/Dff_ogWUYAANPYt.jpg,36251026,LaughingPlace.com
Tue Jun 12 14:50:44 +0000 2018,"RT @WDWNT: New Grevy’s Zebra Foals Debut at Disney’s Animal Kingdom
https://t.co/ceKkXRYwZa https://t.co/iXpTIASNI0",,[],1006533893871341575,1,Grevy Zebra,http://pbs.twimg.com/media/DfftPl6XkAchsUr.jpg,127002708,Brandi G
Tue Jun 12 14:24:29 +0000 2018,"RT @WDWNT: New Grevy’s Zebra Foals Debut at Disney’s Animal Kingdom
https://t.co/ceKkXRYwZa https://t.co/iXpTIASNI0",,[],1006533893871341575,1,Grevy Zebra,http://pbs.twimg.com/media/DfftPl6XkAchsUr.jpg,896590118089371648,Ryan Sabin
Tue Jun 12 14:14:17 +0000 2018,RT @TheDIS: ICYMI: Two Grevy's Zebra Foals Make Their Debut at Animal Kingdom https://t.co/aCM6wI8oY2 https://t.co/QjIJwAaj4i,,[],1006321640379043840,1,Grevy Zebra,http://pbs.twimg.com/media/DfcsM0CU0AAcF2U.jpg,2861925617,Jarrod Negri
Tue Jun 12 14:07:23 +0000 2018,"RT @WDWNT: New Grevy’s Zebra Foals Debut at Disney’s Animal Kingdom
https://t.co/ceKkXRYwZa https://t.co/iXpTIASNI0",,[],1006533893871341575,1,Grevy Zebra,http://pbs.twimg.com/media/DfftPl6XkAchsUr.jpg,26067145,Cara Whedbee
Tue Jun 12 14:02:11 +0000 2018,"RT @WDWNT: New Grevy’s Zebra Foals Debut at Disney’s Animal Kingdom
https://t.co/ceKkXRYwZa https://t.co/iXpTIASNI0",,[],1006533893871341575,1,Grevy Zebra,http://pbs.twimg.com/media/DfftPl6XkAchsUr.jpg,3291603174,Robin
Wed Jun 20 00:26:51 +0000 2018,RT @_PapiAce: 6ix9ine running might be the funniest thing I’ve seen all week https://t.co/kzuEZgfUNz,,[],1008793513188839426,1,Lion,http://pbs.twimg.com/ext_tw_video_thumb/1008793513188839426/pu/img/E3cvROwY1kFTdrQV.jpg,92420890,The Milkman
Wed Jun 20 00:26:26 +0000 2018,RT @worldofbrown: new tunes soon with @lul_lion. stay tuned https://t.co/khvFJQhpWJ,,[],1009093414602674176,1,Lion,http://pbs.twimg.com/media/DgEFHTqUEAA3bcS.jpg,355132749,Michael da Vinci
Wed Jun 20 00:26:24 +0000 2018,RT @slushysoup: ยองแจตอนคำรามในเพลง lion boy  https://t.co/7nBtd6VZoa,,[],1006884209632268290,1,Lion,http://pbs.twimg.com/ext_tw_video_thumb/1006884209632268290/pu/img/twesjTjoFkrmpBRN.jpg,266968564,iam21ican☀️
Wed Jun 20 00:26:24 +0000 2018,"RT @lion_man_2030: ما ني  على  ظنك  مع   الناس لاهي.......
قلبي معك يصبح ويمسي على الشوق.......

Mountain ✍️ https://t.co/4TQz9E45CC",,[],982187144570535936,1,Lion,http://pbs.twimg.com/media/DaFuAQ8VAAAO8hx.jpg,753331852849676288,Mountain
Wed Jun 20 00:26:23 +0000 2018,RT @applechinfo: macOS 10.14 MojaveではMac OS X 10.7 Lion以前と同様にシステム・アップデートをシステム環境設定パネルから行うように。 https://t.co/isOwefxKSJ https://t.co/A580d1J3QI,,[],1009173178071937024,1,Lion,http://pbs.twimg.com/media/DgFNqJvUcAARand.jpg,561594260,水月 杏香
Wed Jun 20 00:26:07 +0000 2018,Meet the newest litter of mountain lion kittens 😺😺 that researchers discovered @SantaMonicaMtns #California https://t.co/Yn3OnpS8Zw,,[{u'tag': u'California'}],1009230872845807618,1,Lion,http://pbs.twimg.com/media/DgGCIbhU8AIJk9H.jpg,76348185,US Department of the Interior
Wed Jun 20 00:26:07 +0000 2018,Meet the newest litter of mountain lion kittens 😺😺 that researchers discovered @SantaMonicaMtns #California https://t.co/Yn3OnpS8Zw,,[{u'tag': u'California'}],1009230872845807617,2,Lion,http://pbs.twimg.com/media/DgGCIbhU8AEt0dU.jpg,76348185,US Department of the Interior
Wed Jun 20 00:26:07 +0000 2018,Meet the newest litter of mountain lion kittens 😺😺 that researchers discovered @SantaMonicaMtns #California https://t.co/Yn3OnpS8Zw,,[{u'tag': u'California'}],1009230872854163456,3,Lion,http://pbs.twimg.com/media/DgGCIbjUcAAHg7D.jpg,76348185,US Department of the Interior
Wed Jun 20 00:25:50 +0000 2018,"RT @lion_man_2030: لا جيت باكابر على الحب وانساك......
جات    الهموم    الاوله  والجديده........

Mountain ✍️ https://t.co/6loMxUB1Nl",,[],983360423926870017,1,Lion,http://pbs.twimg.com/media/DaWZGHJWsAEQvJH.jpg,753331852849676288,Mountain
Wed Jun 20 00:25:13 +0000 2018,"RT @NuclearAnthro: @AnaMardoll Lion hugs, friend. https://t.co/uc8bX4A4Af",,[],1009203046402756608,1,Lion,http://pbs.twimg.com/tweet_video_thumb/DgFo0t8UEAA8MmE.jpg,2870058663,🌔Bree Mae🌖
Wed Jun 20 00:24:43 +0000 2018,RT @lazio_jp: 流石ワールドカップのカメラマン美女を探すのがうまい https://t.co/ZwQ2u8B7M1,,[],1008710606373834752,1,Lion,http://pbs.twimg.com/media/Df-o874U0AAE4TG.jpg,916120926613159936,回たん=ぽぽ回
Wed Jun 20 00:24:40 +0000 2018,RT @AmazedByAnimals: Mother lion give her cub a bath. https://t.co/um2SvPfSau,,[],444572328748273664,1,Lion,http://pbs.twimg.com/media/BitwLXQCUAAwOS1.jpg,142262528,Harsha Radhakrishnan
Wed Jun 20 00:24:34 +0000 2018,@50iil ليه مسحتي ترى زينة https://t.co/gTh8AGXetY,,[],1009230475804729344,1,Lion,http://pbs.twimg.com/media/DgGBxUbW4AAqT2H.jpg,1001667178834419718,عبدالعزيز
